dt,main_weather,weather_desc,icon_code,sunrise,sunset,temp,visibility,wind_speed,wind_deg,timestamp
1677783770,Clouds,"broken clouds",NULL,1677741090,1677780204,279.7,10000,1.79,89,1677783770
1678113902,Rain,"light rain",NULL,1678086131,1678126256,278.81,10000,3.09,290,1678113903
1678114202,Rain,"light rain",NULL,1678086131,1678126256,278.56,10000,3.09,290,1678114202
1678114501,Rain,"light rain",NULL,1678086131,1678126256,278.56,10000,3.09,290,1678114502
1678114804,Rain,"light rain",NULL,1678086131,1678126256,278.45,10000,3.09,290,1678114804
1678115101,Rain,"light rain",NULL,1678086131,1678126256,278.3,10000,3.09,290,1678115102
1678115402,Rain,"light rain",NULL,1678086131,1678126256,278.3,10000,3.09,290,1678115402
1678115703,Rain,"light rain",NULL,1678086131,1678126256,278.3,10000,3.09,290,1678115703
1678116002,Rain,"light rain",NULL,1678086131,1678126256,278.66,10000,4.63,310,1678116002
1678116302,Rain,"light rain",NULL,1678086131,1678126256,278.66,10000,4.63,310,1678116303
1678116602,Rain,"light rain",NULL,1678086131,1678126256,278.66,10000,4.63,310,1678116602
1678116902,Rain,"light rain",NULL,1678086131,1678126256,278.81,10000,4.63,310,1678116902
1678117202,Rain,"light rain",NULL,1678086131,1678126256,278.81,10000,4.63,310,1678117203
1678117502,Rain,"light rain",NULL,1678086131,1678126256,278.75,10000,3.6,340,1678117502
1678117802,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.6,340,1678117802
1678118102,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.6,340,1678118102
1678118403,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.6,340,1678118404
1678118701,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.6,340,1678118702
1678119002,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.6,340,1678119002
1678119301,Rain,"moderate rain",NULL,1678086131,1678126256,278.5,10000,3.6,340,1678119302
1678119602,Rain,"moderate rain",NULL,1678086131,1678126256,278.5,10000,3.09,320,1678119603
1678119902,Rain,"moderate rain",NULL,1678086131,1678126256,278.5,10000,3.09,320,1678119903
1678120202,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.09,320,1678120202
1678120502,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.09,320,1678120502
1678120802,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,3.09,320,1678120803
1678121102,Rain,"light rain",NULL,1678086131,1678126256,278.5,10000,2.57,300,1678121103
1678121402,Rain,"light rain",NULL,1678086131,1678126256,278.24,10000,2.57,300,1678121402
1678121702,Rain,"light rain",NULL,1678086131,1678126256,278.24,10000,2.57,300,1678121702
1678122004,Rain,"light rain",NULL,1678086131,1678126256,278.24,10000,2.57,300,1678122005
1678122302,Rain,"moderate rain",NULL,1678086131,1678126256,278.5,10000,2.57,300,1678122302
1678122602,Rain,"moderate rain",NULL,1678086131,1678126256,278.5,10000,2.57,300,1678122603
1678122901,Rain,"moderate rain",NULL,1678086131,1678126256,278.5,10000,2.57,300,1678122902
1678123201,Rain,"moderate rain",NULL,1678086131,1678126256,278.45,10000,2.06,330,1678123202
1678123502,Rain,"light rain",NULL,1678086131,1678126256,278.4,10000,2.06,330,1678123503
1678123803,Rain,"light rain",NULL,1678086131,1678126256,278.4,10000,2.06,330,1678123803
1678124102,Rain,"light rain",NULL,1678086131,1678126256,278.31,10000,2.06,330,1678124102
1678124402,Rain,"moderate rain",NULL,1678086131,1678126256,278.31,10000,2.06,330,1678124402
1678124702,Rain,"moderate rain",NULL,1678086131,1678126256,278.12,10000,3.09,350,1678124702
1678125002,Rain,"moderate rain",NULL,1678086131,1678126256,277.99,10000,3.09,350,1678125002
1678125302,Rain,"light rain",NULL,1678086131,1678126256,277.99,10000,3.09,350,1678125302
1678125610,Rain,"light rain",NULL,1678086131,1678126256,277.93,10000,3.09,350,1678125603
1678125902,Rain,"light rain",NULL,1678086131,1678126256,277.83,10000,3.09,350,1678125902
1678126205,Clouds,"broken clouds",NULL,1678086131,1678126256,277.83,10000,3.09,350,1678126202
1678126502,Clouds,"broken clouds",NULL,1678086131,1678126256,277.81,10000,4.12,10,1678126502
1678126802,Clouds,"broken clouds",NULL,1678086131,1678126256,277.7,10000,4.12,10,1678126802
1678127102,Clouds,"broken clouds",NULL,1678086131,1678126256,277.7,10000,4.12,10,1678127102
