number,contract_name,name,address,banking,bike_stands,bonus,position_lat,position_lng,timestamp
1,dublin,"CLARENDON ROW","Clarendon Row",0,31,0,53.340927,-6.262501,1680599103
2,dublin,"BLESSINGTON STREET","Blessington Street",0,20,0,53.356769,-6.26814,1680599103
3,dublin,"BOLTON STREET","Bolton Street",0,20,0,53.351182,-6.269859,1680599103
4,dublin,"GREEK STREET","Greek Street",0,20,0,53.346874,-6.272976,1680599103
5,dublin,"CHARLEMONT PLACE","Charlemont Street",0,40,0,53.330662,-6.260177,1680599103
6,dublin,"CHRISTCHURCH PLACE","Christchurch Place",0,20,0,53.343368,-6.27012,1680599103
7,dublin,"HIGH STREET","High Street",0,29,0,53.343565,-6.275071,1680599103
8,dublin,"CUSTOM HOUSE QUAY","Custom House Quay",0,30,0,53.347884,-6.248048,1680599103
9,dublin,"EXCHEQUER STREET","Exchequer Street",0,24,0,53.343034,-6.263578,1680599103
10,dublin,"DAME STREET","Dame Street",1,16,0,53.344007,-6.266802,1680599103
11,dublin,"EARLSFORT TERRACE","Earlsfort Terrace",0,30,0,53.334295,-6.258503,1680599103
12,dublin,"ECCLES STREET","Eccles Street",0,20,0,53.359246,-6.269779,1680599103
13,dublin,"FITZWILLIAM SQUARE WEST","Fitzwilliam Square West",0,30,0,53.336074,-6.252825,1680599103
14,dublin,"FOWNES STREET UPPER","Fownes Street Upper",0,30,0,53.344603,-6.263371,1680599103
15,dublin,"HARDWICKE STREET","Hardwicke Street",0,16,0,53.355473,-6.264423,1680599103
16,dublin,"GEORGES QUAY","Georges Quay",0,20,0,53.347508,-6.252192,1680599103
17,dublin,"GOLDEN LANE","Golden Lane",0,20,0,53.340803,-6.267732,1680599103
18,dublin,"GRANTHAM STREET","Grantham Street",0,30,0,53.334123,-6.265436,1680599103
19,dublin,"HERBERT PLACE","Herbert Place",0,30,0,53.334432,-6.245575,1680599103
20,dublin,"JAMES STREET EAST","James Street East",0,30,0,53.336597,-6.248109,1680599103
21,dublin,"LEINSTER STREET SOUTH","Leinster Street South",0,30,0,53.34218,-6.254485,1680599103
22,dublin,"TOWNSEND STREET","Townsend Street",0,20,0,53.345922,-6.254614,1680599103
23,dublin,"CUSTOM HOUSE","Custom House",0,30,0,53.348279,-6.254662,1680599103
24,dublin,"CATHAL BRUGHA STREET","Cathal Brugha Street",0,20,0,53.352149,-6.260533,1680599103
25,dublin,"MERRION SQUARE EAST","Merrion Square East",0,30,0,53.339434,-6.246548,1680599103
26,dublin,"MERRION SQUARE WEST","Merrion Square West",1,20,0,53.339764,-6.251988,1680599103
27,dublin,"MOLESWORTH STREET","Molesworth Street",0,20,0,53.341288,-6.258117,1680599103
28,dublin,"MOUNTJOY SQUARE WEST","Mountjoy Square West",0,30,0,53.356299,-6.258586,1680599103
29,dublin,"ORMOND QUAY UPPER","Ormond Quay Upper",0,29,0,53.346057,-6.268001,1680599103
30,dublin,"PARNELL SQUARE NORTH","Parnell Square North",0,20,0,53.3537415547453,-6.26530144781526,1680599103
31,dublin,"PARNELL STREET","Parnell Street",0,20,0,53.350929,-6.265125,1680599103
32,dublin,"PEARSE STREET","Pearse Street",0,30,0,53.344304,-6.250427,1680599103
33,dublin,"PRINCES STREET / O'CONNELL STREET","Princes Street / O'Connell Street",1,23,0,53.349013,-6.260311,1680599103
34,dublin,"PORTOBELLO HARBOUR","Portobello Harbour",0,30,0,53.330362,-6.265163,1680599103
35,dublin,SMITHFIELD,Smithfield,0,30,0,53.347692,-6.278214,1680599103
36,dublin,"ST. STEPHEN'S GREEN EAST","St. Stephen's Green East",0,40,0,53.337824,-6.256035,1680599103
37,dublin,"ST. STEPHEN'S GREEN SOUTH","St. Stephen's Green South",1,30,0,53.337494,-6.26199,1680599103
38,dublin,"TALBOT STREET","Talbot Street",0,40,0,53.350974,-6.25294,1680599103
39,dublin,"WILTON TERRACE","Wilton Terrace",0,20,0,53.332383,-6.252717,1680599103
40,dublin,"JERVIS STREET","Jervis Street",0,21,0,53.3483,-6.266651,1680599103
41,dublin,"HARCOURT TERRACE","Harcourt Terrace",0,20,0,53.332763,-6.257942,1680599103
42,dublin,"SMITHFIELD NORTH","Smithfield North",0,30,0,53.349562,-6.278198,1680599103
43,dublin,"PORTOBELLO ROAD","Portobello Road",0,30,0,53.330091,-6.268044,1680599103
44,dublin,"UPPER SHERRARD STREET","Upper Sherrard Street",0,30,0,53.358437,-6.260641,1680599103
45,dublin,"DEVERELL PLACE","Deverell Place",0,30,0,53.351464,-6.255265,1680599103
47,dublin,"HERBERT STREET","Herbert Street",0,40,0,53.335742,-6.24551,1680599103
48,dublin,"EXCISE WALK","Excise Walk",0,40,0,53.347777,-6.244239,1680599103
49,dublin,"GUILD STREET","Guild Street",0,40,0,53.347932,-6.240928,1680599103
50,dublin,"GEORGES LANE","George's Lane",0,40,0,53.35023,-6.279696,1680599103
51,dublin,"YORK STREET WEST","York Street West",0,40,0,53.339334,-6.264699,1680599103
52,dublin,"YORK STREET EAST","York Street East",0,32,0,53.338755,-6.262003,1680599103
